,prefecture,city,town,category,rank,url,name,date,reviewCount,uberScore,uberCategoryCount,bizTimeLength,menuCount,menuDescriptionRate,menuDescriptionAve,menuPhotoRate,menuPriceAve
0,東京都,千代田区,猿楽町,最も人気の料理,1.0,https://www.ubereats.com/jp/store/%E3%81%99%E3%81%8D%E5%AE%B6-%E6%AD%A6%E8%94%B5%E5%B0%8F%E5%B1%B1%E5%BA%97-sukiya-musashi-koyama/PjZvILkyTd2iimOsdJ0R_A,すき家 武蔵小山店 Sukiya Musashi Koyama,2021/7/29,59.0,4.7,5.0,11:00-20:00,10.0,0.090488163,51.0,14.0,1304.0
1,東京都,千代田区,猿楽町,最も人気の料理,2.0,https://www.ubereats.com/jp/store/%E5%B1%B1%E4%B8%8B%E6%9C%AC%E6%B0%97%E3%81%86%E3%81%A8%E3%82%93-%E6%B8%8B%E8%B0%B7%E9%81%93%E7%8E%84%E5%9D%82yamashitahonkiudon-shibuyadogenzaka/qZxlvbthSiyMJWfuKMKksw,山下本気うどん 渋谷道玄坂Yamashitahonkiudon Shibuyadogenzaka,2021/7/29,96.0,4.8,3.0,12:00-23:00,17.0,0.098750753,42.0,14.0,1123.0
2,東京都,千代田区,猿楽町,最も人気の料理,3.0,https://www.ubereats.com/jp/store/%E3%83%A2%E3%83%A2%E3%82%BF%E3%82%A4-momothai/D725pnW7Q-OJP7rkJT0S1A,モモタイ MOMOTHAI,2021/7/29,154.0,4.4,3.0,12:00-15:00,21.0,0.449289135,8.0,6.0,1280.0
3,東京都,千代田区,猿楽町,最も人気の料理,4.0,https://www.ubereats.com/jp/store/%E3%81%99%E3%81%8D%E5%AE%B6-%E7%A5%9E%E8%B0%B7%E7%94%BA%E5%BA%97-sukiya-kamiyacho/t7y9pVLmT1mNX7dGX9VpdA,すき家 神谷町店 Sukiya Kamiyacho,2021/7/29,84.0,4.6,2.0,11:00-20:00,5.0,0.30967299,79.0,13.0,1756.0
4,東京都,千代田区,猿楽町,最も人気の料理,5.0,https://www.ubereats.com/jp/store/%E3%83%AD%E3%83%BC%E3%82%BD%E3%83%B3%E3%82%B9%E3%83%88%E3%82%A2100-%E6%B8%8B%E8%B0%B7%E5%BA%97-lawsonstore100-shibuya/RJ7P-9BiSBedXhi_XHZW6g,ローソンストア100 渋谷店 Lawsonstore100 Shibuya,2021/7/29,95.0,4.5,5.0,12:00-23:00,24.0,0.230597329,51.0,12.0,1358.0
5,東京都,千代田区,猿楽町,最も人気の料理,6.0,https://www.ubereats.com/jp/store/%E3%81%99%E3%81%8D%E5%AE%B6-%E6%B8%8B%E8%B0%B7%E5%86%86%E5%B1%B1%E7%94%BA%E5%BA%97-sukiya-shibuya-maruyamacho/Zp8xOx1yQTOIixJu_-OdRw,すき家 渋谷円山町店 Sukiya Shibuya-Maruyamacho,2021/7/29,65.0,4.0,4.0,12:00-15:00,9.0,0.269612512,61.0,19.0,1366.0
6,東京都,千代田区,猿楽町,最も人気の料理,7.0,https://www.ubereats.com/jp/store/%E3%81%99%E3%81%8D%E5%AE%B6-%E4%B8%89%E8%BB%92%E8%8C%B6%E5%B1%8B%E5%8C%97%E5%BA%97-sukiya-sangendyaya-kita/xU-n5PfGTuWEJdGCYpfuDw,すき家 三軒茶屋北店 Sukiya Sangendyaya Kita,2021/7/29,197.0,4.7,2.0,11:00-20:00,16.0,0.455631416,21.0,18.0,1009.0
7,東京都,千代田区,猿楽町,最も人気の料理,8.0,https://www.ubereats.com/jp/store/%E3%81%99%E3%81%8D%E5%AE%B6-%E5%B9%A1%E3%83%B6%E8%B0%B7%E9%A7%85%E5%89%8D%E5%BA%97-sukiya-hatagaya-ekimae/zw1r2MmySsa2Qpow8gi0xA,すき家 幡ヶ谷駅前店 Sukiya Hatagaya Ekimae,2021/7/29,92.0,4.8,3.0,12:00-23:00,29.0,0.512196492,74.0,12.0,1864.0
8,東京都,千代田区,猿楽町,最も人気の料理,9.0,https://www.ubereats.com/jp/store/%E3%81%99%E3%81%8D%E5%AE%B6-%E4%B8%89%E8%BB%92%E8%8C%B6%E5%B1%8B%E4%BA%8C%E4%B8%81%E7%9B%AE%E5%BA%97-sukiya-sangendyaya-2-chome/CKcIIHVfQ3y9f8LikEuaKQ,すき家 三軒茶屋二丁目店 Sukiya Sangendyaya 2 Chome,2021/7/29,78.0,4.4,3.0,12:00-15:00,7.0,0.417876817,82.0,28.0,1263.0
9,東京都,千代田区,猿楽町,最も人気の料理,10.0,https://www.ubereats.com/jp/store/%E3%81%99%E3%81%8D%E5%AE%B6-%E7%A5%9E%E5%AE%AE%E5%89%8D%E4%B8%89%E4%B8%81%E7%9B%AE%E5%BA%97-sukiya-jingumae-3chome/oI-w0yxtSgKCI6laINCmvg,すき家 神宮前三丁目店 Sukiya Jingumae 3chome,2021/7/29,50.0,4.6,1.0,11:00-20:00,13.0,0.202359721,9.0,25.0,1463.0
10,東京都,千代田区,猿楽町,最も人気の料理,11.0,https://www.ubereats.com/jp/store/%E3%81%99%E3%81%8D%E5%AE%B6-%E8%A5%BF%E6%96%B0%E5%AE%BF%E4%BA%94%E4%B8%81%E7%9B%AE%E9%A7%85%E5%89%8D%E5%BA%97-sukiya-nishishinjuku-5chome-ekimae/6O3GwIj9SbyTj-8HEPKp-w,すき家 西新宿五丁目駅前店 Sukiya Nishishinjuku 5chome Ekimae,2021/7/29,160.0,4.5,4.0,12:00-23:00,4.0,0.674438428,9.0,25.0,1407.0
11,東京都,千代田区,猿楽町,最も人気の料理,12.0,https://www.ubereats.com/jp/store/%E3%81%99%E3%81%8D%E5%AE%B6-%E6%B8%8B%E8%B0%B7%E5%8D%97%E5%B9%B3%E5%8F%B0%E5%BA%97-sukiya-shibuya-nanpeidai/eXSQQwGCQUG_EhRm3uGKAw,すき家 渋谷南平台店 Sukiya Shibuya Nanpeidai,2021/7/29,111.0,4.0,3.0,12:00-15:00,8.0,0.400753668,27.0,12.0,1586.0
12,東京都,千代田区,猿楽町,最も人気の料理,13.0,https://www.ubereats.com/jp/store/%E3%82%A6%E3%82%A7%E3%83%B3%E3%83%86%E3%82%A3%E3%83%BC%E3%82%B9%E3%83%BB%E3%83%95%E3%82%A1%E3%83%BC%E3%82%B9%E3%83%88%E3%82%AD%E3%83%83%E3%83%81%E3%83%B3-%E6%96%B0%E5%AE%BF%E5%8D%97%E5%8F%A3%E5%BA%97-wendys-first-kitchen-shinjuku-minamiguchi/KIDtrCu7SmGG_FXfITvNnA,ウェンディーズ・ファーストキッチン 新宿南口店 Wendy's First Kitchen SHINJUKU MINAMIGUCHI,2021/7/29,173.0,4.7,4.0,11:00-20:00,25.0,0.95140953,2.0,29.0,1648.0
13,東京都,千代田区,猿楽町,最も人気の料理,14.0,https://www.ubereats.com/jp/store/fried-crispy-chicken-n-cheese-%E6%B8%8B%E8%B0%B7%E5%BA%97-fried-crispy-chicken-n-cheese-shibuya/AHfdMFZiRBi3zgTpiMDjYw,FRIED CRISPY CHICKEN n' CHEESE 渋谷店 FRIED CRISPY CHICKEN n' CHEESE SHIBUYA,2021/7/29,32.0,4.8,2.0,12:00-23:00,12.0,0.835555358,88.0,15.0,1561.0
14,東京都,千代田区,猿楽町,最も人気の料理,15.0,https://www.ubereats.com/jp/store/%E3%82%AF%E3%83%AA%E3%82%B9%E3%83%92%E3%83%BC%E3%83%81%E3%82%AD%E3%83%B3%E3%82%A2%E3%83%B3%E3%83%88%E3%83%88%E3%83%9E%E3%83%88-%E6%96%B0%E5%AE%BF%E6%9D%B1%E5%8F%A3%E5%BA%97-crispy-chicken-n-tomato-shinjuku-east-exit/xyH0mPhCQyOBAuk3mtRcTQ,クリスピーチキンアンドトマト 新宿東口店 CRISPY CHICKEN n' TOMATO Shinjuku East Exit,2021/7/29,100.0,4.4,3.0,12:00-15:00,4.0,0.01124014,2.0,26.0,1687.0
15,東京都,千代田区,猿楽町,最も人気の料理,16.0,https://www.ubereats.com/jp/store/%E3%82%84%E3%82%88%E3%81%84%E8%BB%92-%E4%B8%89%E8%BB%92%E8%8C%B6%E5%B1%8B%E5%BA%97/Sm30WVG0SXqD5ut_lL5gZg,やよい軒 三軒茶屋店,2021/7/29,70.0,4.6,5.0,11:00-20:00,13.0,0.613053052,62.0,14.0,1151.0
16,東京都,千代田区,猿楽町,最も人気の料理,17.0,https://www.ubereats.com/jp/store/%E3%83%A9%E3%82%AB%E3%83%92%E3%83%8A-la-cabina/_CgIT71mRZ6rpjPG7uSkCQ,ラカビナ La Cabina,2021/7/29,73.0,4.5,4.0,12:00-23:00,3.0,0.775534881,2.0,26.0,1751.0
17,東京都,千代田区,猿楽町,最も人気の料理,18.0,https://www.ubereats.com/jp/store/%E7%A9%B6%E6%A5%B5%E3%81%AE%E3%82%AB%E3%82%AA%E3%83%9E%E3%83%B3%E3%82%AB%E3%82%A4-%E6%B8%8B%E8%B0%B7%E5%BA%97-gapao-shibuya/7GMPYcJBRKamhSYvfouwsg,究極のカオマンガイ 渋谷店 Gapao Shibuya,2021/7/29,68.0,4.0,5.0,12:00-15:00,6.0,0.128165391,34.0,20.0,1369.0
18,東京都,千代田区,猿楽町,最も人気の料理,19.0,https://www.ubereats.com/jp/store/%E4%B8%AD%E8%8F%AF%E9%A3%9F%E5%A0%82%E4%B8%80%E7%95%AA%E9%A4%A8-%E7%9B%AE%E9%BB%92%E5%BA%97-chinese-restaurant-ichibankan/s7t5Oc3gRr2Xv5qxE-OAyg,中華食堂一番館 目黒店 Chinese restaurant Ichibankan,2021/7/29,64.0,4.7,3.0,11:00-20:00,11.0,0.365604925,13.0,29.0,1237.0
19,東京都,千代田区,猿楽町,最も人気の料理,20.0,https://www.ubereats.com/jp/store/nemo-%E3%83%8F%E3%83%BC-nemo-bar/T4NSA6zKSJCju4eCXpgCSA,nemo バー nemo bar,2021/7/29,50.0,4.8,4.0,12:00-23:00,13.0,0.841558003,78.0,7.0,1711.0
20,東京都,千代田区,猿楽町,最も人気の料理,21.0,https://www.ubereats.com/jp/store/%E7%A9%B6%E6%A5%B5%E3%81%AE%E5%94%90%E6%8F%9A%E3%81%91%E5%B0%82%E9%96%80%E5%BA%97-%E3%81%8B%E3%82%89%E3%82%84-%E6%B8%8B%E8%B0%B7%E5%BA%97/GVKkWXJIQPWmscFCXmLxpw,究極の唐揚げ専門店 からや 渋谷店,2021/7/29,135.0,4.4,5.0,12:00-15:00,13.0,0.866576438,34.0,6.0,1354.0
21,東京都,千代田区,猿楽町,最も人気の料理,22.0,https://www.ubereats.com/jp/store/%E3%83%81%E3%83%A3%E3%83%AA%E3%83%81%E3%83%A3%E3%83%AA-chali-chali/BwOpPd2ZSD2fMki2SfSzDQ,チャリチャリ ChaLi ChaLi,2021/7/29,179.0,4.6,5.0,11:00-20:00,21.0,0.745140393,48.0,18.0,1051.0
22,東京都,千代田区,猿楽町,最も人気の料理,23.0,https://www.ubereats.com/jp/store/%E6%9D%BE%E6%BF%A4%E3%83%95%E3%83%AB%E3%83%BC%E3%83%84/alf3ySRMTcCyDHQhE-m0nw,松濤フルーツ,2021/7/29,173.0,4.5,5.0,12:00-23:00,12.0,0.250403133,41.0,14.0,1127.0
23,東京都,千代田区,猿楽町,最も人気の料理,24.0,https://www.ubereats.com/jp/store/%E3%81%99%E3%81%8D%E5%AE%B6-%E6%B8%8B%E8%B0%B7%E4%BA%8C%E4%B8%81%E7%9B%AE%E5%BA%97-sukiya-shibuya-2-chome/azTS92LgSBmp-LwWVJFqlg,すき家 渋谷二丁目店 Sukiya Shibuya 2 Chome,2021/7/29,79.0,4.0,5.0,12:00-15:00,18.0,0.944366396,93.0,24.0,1810.0
24,東京都,千代田区,猿楽町,最も人気の料理,25.0,https://www.ubereats.com/jp/store/%E3%81%99%E3%81%8D%E5%AE%B6-%E4%BB%A3%E3%80%85%E6%9C%A8%E4%B8%80%E4%B8%81%E7%9B%AE%E5%BA%97-sukiya-yoyogi-1chome/N_yIBRqVQKqo5LLqZ0dJNg,すき家 代々木一丁目店 Sukiya Yoyogi 1chome,2021/7/29,32.0,4.7,5.0,11:00-20:00,15.0,0.175926444,49.0,13.0,1403.0
25,東京都,千代田区,猿楽町,最も人気の料理,26.0,https://www.ubereats.com/jp/store/%E3%81%99%E3%81%8D%E5%AE%B6-%E6%B8%8B%E8%B0%B7%E6%A1%9C%E4%B8%98%E5%BA%97-sukiya-shibuya-sakuragaoka/PtMEsKSFTYuR60SpC2uusw,すき家 渋谷桜丘店 Sukiya Shibuya-Sakuragaoka,2021/7/29,182.0,4.8,1.0,12:00-23:00,30.0,0.653897869,48.0,19.0,1713.0
26,東京都,千代田区,猿楽町,最も人気の料理,27.0,https://www.ubereats.com/jp/store/%E3%83%A1%E3%82%AD%E3%83%A3%E3%83%B3%E5%8E%9F%E5%AE%BF-mekan-harajuku/lL-SRbgmSdOMbqRaf-Y0XQ,メキャン原宿 MEKAN Harajuku,2021/7/29,156.0,4.4,3.0,12:00-15:00,26.0,0.854965974,30.0,14.0,1159.0
27,東京都,千代田区,猿楽町,最も人気の料理,28.0,https://www.ubereats.com/jp/store/%E3%81%99%E3%81%8D%E5%AE%B6-%E6%96%B0%E5%AE%BF%E4%BA%8C%E4%B8%81%E7%9B%AE%E5%BA%97-sukiya-shinjuku-2chome/pc_LPGnxRHyiBzZhCAS0xg,すき家 新宿二丁目店 Sukiya Shinjuku 2chome,2021/7/29,46.0,4.6,4.0,11:00-20:00,24.0,0.574779791,51.0,28.0,1106.0
28,東京都,千代田区,猿楽町,最も人気の料理,29.0,https://www.ubereats.com/jp/store/or-%E3%82%AA%E3%82%A2/mSrbwbEjTZWeYVg-3AN5JA,or (オア),2021/7/29,59.0,4.5,5.0,12:00-23:00,3.0,0.587836872,47.0,25.0,1948.0
29,東京都,千代田区,猿楽町,最も人気の料理,30.0,https://www.ubereats.com/jp/store/hatena-%E4%BB%A3%E5%AE%98%E5%B1%B1-hatenadaikanyama/yp9X0oQhQ2qWVWLQT4iQfQ,hatena 代官山 hatenaDAIKANYAMA,2021/7/29,135.0,4.0,5.0,12:00-15:00,28.0,0.21632046,83.0,16.0,1665.0
30,東京都,千代田区,猿楽町,最も人気の料理,31.0,https://www.ubereats.com/jp/store/%E7%84%BC%E8%82%89%E3%81%86%E3%81%97%E3%82%86%E3%81%8D-yakiniku-ushiyuki/SfoUz5A-TC23IA8tbepqUg,焼肉うしゆき　YAKINIKU USHIYUKI,2021/7/29,88.0,4.7,4.0,11:00-20:00,27.0,0.341186027,75.0,8.0,1726.0
31,東京都,千代田区,猿楽町,最も人気の料理,32.0,https://www.ubereats.com/jp/store/%E3%83%8F%E3%83%8A%E3%83%8A%E3%82%B7%E3%83%A5%E3%83%BC%E3%82%B9%E5%B0%82%E9%96%80%E5%BA%97-banana-lab-%E4%B8%AD%E7%9B%AE%E9%BB%92%E5%BA%97-%7C-banana-lab-nakameguro/oOFpq-cbQn-QcvoDvwX19g,バナナジュース専門店 BANANA LAB 中目黒店 | BANANA LAB Nakameguro,2021/7/29,75.0,4.8,4.0,12:00-23:00,20.0,0.155421823,5.0,15.0,1088.0
32,東京都,千代田区,猿楽町,最も人気の料理,33.0,https://www.ubereats.com/jp/store/%E3%83%95%E3%83%AC%E3%83%83%E3%82%B7%E3%83%A5%E3%83%8D%E3%82%B9%E3%83%8F%E3%83%BC%E3%82%AB%E3%83%BC-%E4%B8%AD%E7%9B%AE%E9%BB%92%E9%A7%85%E5%89%8D%E5%BA%97-freshness-burger-nakameguro-ekimae/HUDS4nwBTae4CUmXCH-lfw,フレッシュネスバーガー 中目黒駅前店 Freshness Burger Nakameguro Ekimae,2021/7/29,128.0,4.4,4.0,12:00-15:00,24.0,0.44154983,31.0,22.0,1298.0
33,東京都,千代田区,猿楽町,最も人気の料理,34.0,https://www.ubereats.com/jp/store/%E9%9D%92%E5%B1%B1%E9%8A%80%E5%BA%A7%E3%83%A9%E3%82%A4%E3%82%AA%E3%83%B3-%E9%9D%92%E5%B1%B1%E4%B8%80%E4%B8%81%E7%9B%AE%E5%BA%97-ginza-lion-beer-hall-aoyama/93rniQaqShyZw42XMGNGiA,【青山】銀座ライオン 青山一丁目店 GINZA LION BEER HALL Aoyama,2021/7/29,84.0,4.6,2.0,11:00-20:00,6.0,0.146518356,38.0,26.0,1249.0
34,東京都,千代田区,猿楽町,最も人気の料理,35.0,https://www.ubereats.com/jp/store/%E3%83%AF%E3%82%A4%E3%83%B3%E3%82%B7%E3%83%A7%E3%83%83%E3%83%95%E3%83%BB%E3%82%A8%E3%83%8E%E3%83%86%E3%82%AB-%E5%BA%83%E5%B0%BE%E6%9C%AC%E5%BA%97-wine-shopenoteca-hiroo-honten/rN_iXUDuTsqWIJtpEO1JNA,ワインショップ・エノテカ 広尾本店 Wine Shop.ENOTECA Hiroo Honten,2021/7/29,94.0,4.5,1.0,12:00-23:00,15.0,0.863023279,69.0,23.0,1343.0
35,東京都,千代田区,猿楽町,最も人気の料理,36.0,https://www.ubereats.com/jp/store/ilbar-%E6%B8%8B%E8%B0%B7%E3%83%95%E3%82%AF%E3%83%A9%E3%82%B9%E5%BA%97/3jCljoALQOq5dhF4nhhNBQ,ILBAR 渋谷フクラス店,2021/7/29,16.0,4.0,1.0,12:00-15:00,28.0,0.007891953,76.0,17.0,1547.0
36,東京都,千代田区,猿楽町,最も人気の料理,37.0,https://www.ubereats.com/jp/store/pronto-%E6%81%B5%E6%AF%94%E5%AF%BF%E6%9D%B1%E5%8F%A3%E5%BA%97/zBvzcd01R-iXVkjX-vde7w,PRONTO 恵比寿東口店,2021/7/29,122.0,4.7,4.0,11:00-20:00,9.0,0.057871222,83.0,27.0,1588.0
37,東京都,千代田区,猿楽町,最も人気の料理,38.0,https://www.ubereats.com/jp/store/%E3%83%AA%E3%82%AB%E3%83%BC%E3%83%9E%E3%82%A6%E3%83%B3%E3%83%86%E3%83%B3-%E5%85%AD%E6%9C%AC%E6%9C%A8ds-liquor-mountain-roppongi-ds/WFeI4e6LQbmSm6jE6AFk7w,リカーマウンテン 六本木DS Liquor Mountain ROPPONGI DS,2021/7/29,48.0,4.8,4.0,12:00-23:00,12.0,0.220747941,53.0,26.0,1455.0
38,東京都,千代田区,猿楽町,最も人気の料理,39.0,https://www.ubereats.com/jp/store/%E3%81%AA%E3%81%8B%E5%8D%AF-%E6%B8%8B%E8%B0%B7%E5%AE%87%E7%94%B0%E5%B7%9D%E7%94%BA%E5%BA%97-nakau-shibuya-udagawacho/Kf-q15COSO-LFRncv4bcZw,なか卯 渋谷宇田川町店 Nakau Shibuya-Udagawacho,2021/7/29,124.0,4.4,3.0,12:00-15:00,15.0,0.018215451,56.0,15.0,1384.0
39,東京都,千代田区,猿楽町,最も人気の料理,40.0,https://www.ubereats.com/jp/store/jollys/0Rr8RBPfTMyb7x89DH8mkQ,JOLLYS,2021/7/29,42.0,4.6,2.0,11:00-20:00,23.0,0.853493989,80.0,24.0,1711.0
40,東京都,千代田区,猿楽町,最も人気の料理,41.0,https://www.ubereats.com/jp/store/%E3%83%86%E3%83%8B%E3%83%BC%E3%82%B9-%E7%A5%90%E5%A4%A9%E5%AF%BA%E5%BA%97-dennys-yuutennji/t4NWZTyyRZmTGH_sFK0AyQ,デニーズ 祐天寺店 Denny's YUUTENNJI,2021/7/29,56.0,4.5,3.0,12:00-23:00,17.0,0.554815871,89.0,24.0,1883.0
41,東京都,千代田区,猿楽町,最も人気の料理,42.0,https://www.ubereats.com/jp/store/%E3%82%A6%E3%83%AB%E3%83%95%E3%82%AD%E3%83%A3%E3%83%B3%E3%82%AF%E3%83%BB%E3%82%B9%E3%83%86%E3%83%BC%E3%82%AD%E3%83%8F%E3%82%A6%E3%82%B9-%E3%82%B7%E3%82%AF%E3%83%8B%E3%83%81%E3%83%A3%E3%83%BC%E9%9D%92%E5%B1%B1%E5%BA%97-wolfgangs-steakhouse-signature-aoyama/pDesGwv5T3qiSjKbnFO5jw,ウルフギャング・ステーキハウス シグニチャー青山店 Wolfgang's Steakhouse Signature Aoyama,2021/7/29,21.0,4.0,3.0,12:00-15:00,16.0,0.816839416,75.0,9.0,1477.0
42,東京都,千代田区,猿楽町,最も人気の料理,43.0,https://www.ubereats.com/jp/store/%E5%A4%A7%E6%88%B8%E5%B1%8B%E3%81%93%E3%81%AF%E3%82%93%E5%87%A6-%E5%85%AD%E6%9C%AC%E6%9C%A8%E5%BA%97-ootoya-roppongi/K5BGzqyiTAavej-Ax1GwAQ,大戸屋ごはん処 六本木店　Ootoya Roppongi,2021/7/29,71.0,4.7,2.0,11:00-20:00,29.0,0.560854837,43.0,27.0,1111.0
44,東京都,千代田区,猿楽町,最も人気の料理,45.0,https://www.ubereats.com/jp/store/%E3%83%AF%E3%82%A4%E3%83%B3%E3%82%B7%E3%83%A7%E3%83%83%E3%83%95%E3%83%BB%E3%82%A8%E3%83%8E%E3%83%86%E3%82%AB-%E5%85%AD%E6%9C%AC%E6%9C%A8%E3%83%92%E3%83%AB%E3%82%B9%E5%BA%97-wine-shopenoteca-roppongi-hills/iCKNBMsnS223f-KeRVR5jw,ワインショップ・エノテカ 六本木ヒルズ店 Wine Shop.ENOTECA Roppongi Hills,2021/7/29,117.0,4.4,1.0,12:00-15:00,20.0,0.702881185,25.0,23.0,1762.0
45,東京都,千代田区,猿楽町,最も人気の料理,46.0,https://www.ubereats.com/jp/store/%E3%81%99%E3%81%97%E3%81%95%E3%82%93%E3%81%BE%E3%81%84-%E6%B8%8B%E8%B0%B7%E6%9D%B1%E6%80%A5%E6%9C%AC%E5%BA%97%E5%89%8D%E5%BA%97/_X4kIlVFSTOPA6wWCzJFRQ,すしざんまい 渋谷東急本店前店,2021/7/29,158.0,4.6,5.0,11:00-20:00,28.0,0.964626981,18.0,16.0,1460.0
46,東京都,千代田区,猿楽町,最も人気の料理,47.0,https://www.ubereats.com/jp/store/%E3%82%A6%E3%82%A3%E3%83%8E%E3%82%B9%E3%82%84%E3%81%BE%E3%81%95%E3%81%8D%E4%B8%AD%E7%9B%AE%E9%BB%92%E5%BA%97-vinos-yamazaki-nakameguro/dUVwdCn2R9apQgtb57C62A,ヴィノスやまざき中目黒店 Vinos Yamazaki Nakameguro,2021/7/29,68.0,4.5,5.0,12:00-23:00,13.0,0.594529077,10.0,12.0,1951.0
49,東京都,千代田区,猿楽町,最も人気の料理,50.0,https://www.ubereats.com/jp/store/%E5%8D%97%E5%9B%BD%E9%85%92%E5%AE%B6-%E5%8E%9F%E5%AE%BF%E5%BA%97-nangoku-shuka-harajuku/adyuY9mVSt6k8NJqEKrpMQ,南国酒家 原宿店 Nangoku Shuka Harajuku,2021/7/29,37.0,4.8,1.0,12:00-23:00,29.0,0.297920406,37.0,7.0,1620.0
